Time,CAV_BAS:DesPer 1:Des Heat Mass Flow [kg/s],CAV_BAS:DesPer 1:Des Heat Cap [W],CAV_BAS:DesPer 1:Des Cool Mass Flow [kg/s],CAV_BAS:DesPer 1:Des Sens Cool Cap [W],CAV_BAS:DesPer 1:Des Tot Cool Cap [W],CAV_BAS:DesPer 2:Des Heat Mass Flow [kg/s],CAV_BAS:DesPer 2:Des Heat Cap [W],CAV_BAS:DesPer 2:Des Cool Mass Flow [kg/s],CAV_BAS:DesPer 2:Des Sens Cool Cap [W],CAV_BAS:DesPer 2:Des Tot Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Tot Cool Cap [W]
00:15:00,1.444241E+00,8.402782E+04,1.444241E+00,0.000000E+00,0.000000E+00,1.444241E+00,2.678731E+04,1.444241E+00,1.268689E+04,0.000000E+00,1.832643E+00,5.653550E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,2.002433E+00,1.759032E+04,0.000000E+00,1.832643E+01,5.653550E+05,1.832643E+01,0.000000E+00,0.000000E+00,1.832643E+01,0.000000E+00,1.832643E+01,1.609881E+05,0.000000E+00,1.832781E+00,5.653975E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,1.832643E+00,1.609881E+04,0.000000E+00,4.072141E-01,2.369225E+04,5.794857E+00,6.431403E+04,5.869431E+04,4.072141E-01,7.552876E+03,2.546108E+01,3.610705E+05,3.615594E+05,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.489116E+02,5.348233E-01,7.528217E+03,7.432472E+03,1.881160E-01,1.094484E+04,1.881160E-01,0.000000E+00,0.000000E+00,1.881160E-01,3.489116E+03,5.056788E+00,7.112353E+04,7.011232E+04,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.489116E+02,5.030792E-01,7.075260E+03,6.973660E+03
00:30:00,1.444241E+00,8.402782E+04,1.444241E+00,0.000000E+00,0.000000E+00,1.444241E+00,2.710949E+04,1.444241E+00,1.236471E+04,0.000000E+00,1.832643E+00,5.653550E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,2.081514E+00,1.782066E+04,0.000000E+00,1.832643E+01,5.653550E+05,1.832643E+01,0.000000E+00,0.000000E+00,1.832643E+01,0.000000E+00,1.835614E+01,1.571541E+05,0.000000E+00,1.867169E+00,5.760059E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,1.832643E+00,1.568998E+04,0.000000E+00,4.072141E-01,2.369225E+04,5.794582E+00,6.431010E+04,5.869034E+04,4.072141E-01,7.643717E+03,2.546316E+01,3.610094E+05,3.614972E+05,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.531081E+02,5.372631E-01,7.558834E+03,7.463472E+03,1.881160E-01,1.094484E+04,1.881160E-01,0.000000E+00,0.000000E+00,1.881160E-01,3.531081E+03,5.077388E+00,7.137551E+04,7.036743E+04,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.531081E+02,5.049353E-01,7.097549E+03,6.996224E+03
00:45:00,1.444241E+00,8.402782E+04,1.444241E+00,0.000000E+00,0.000000E+00,1.444241E+00,2.743167E+04,1.444241E+00,1.204254E+04,0.000000E+00,1.832643E+00,5.653550E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,2.117726E+00,1.765827E+04,0.000000E+00,1.832643E+01,5.653550E+05,1.832643E+01,0.000000E+00,0.000000E+00,1.832643E+01,0.000000E+00,1.836715E+01,1.531511E+05,0.000000E+00,1.909497E+00,5.890639E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,1.832643E+00,1.528116E+04,0.000000E+00,4.072141E-01,2.369225E+04,5.794228E+00,6.430505E+04,5.868522E+04,4.072141E-01,7.734558E+03,2.546504E+01,3.609454E+05,3.614320E+05,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.573045E+02,5.391987E-01,7.582256E+03,7.487184E+03,1.881160E-01,1.094484E+04,1.881160E-01,0.000000E+00,0.000000E+00,1.881160E-01,3.573045E+03,5.094875E+00,7.158307E+04,7.057755E+04,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.573045E+02,5.065282E-01,7.116081E+03,7.014983E+03
01:00:00,1.444241E+00,8.402782E+04,1.444241E+00,0.000000E+00,0.000000E+00,1.444241E+00,2.775385E+04,1.444241E+00,1.172036E+04,0.000000E+00,1.832643E+00,5.653550E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,2.147747E+00,1.742948E+04,0.000000E+00,1.832643E+01,5.653550E+05,1.832643E+01,0.000000E+00,0.000000E+00,1.832643E+01,0.000000E+00,1.837017E+01,1.490783E+05,0.000000E+00,1.947067E+00,6.006539E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,1.832643E+00,1.487234E+04,0.000000E+00,4.072141E-01,2.369225E+04,5.793820E+00,6.429922E+04,5.867932E+04,4.072141E-01,7.825399E+03,2.546675E+01,3.608789E+05,3.613645E+05,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.615010E+02,5.407092E-01,7.599613E+03,7.504753E+03,1.881160E-01,1.094484E+04,1.881160E-01,0.000000E+00,0.000000E+00,1.881160E-01,3.615010E+03,5.109472E+00,7.174939E+04,7.074590E+04,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.615010E+02,5.078705E-01,7.131039E+03,7.030121E+03
01:15:00,1.444241E+00,8.402782E+04,1.444241E+00,0.000000E+00,0.000000E+00,1.444241E+00,2.796864E+04,1.444241E+00,1.150557E+04,0.000000E+00,1.832643E+00,5.653550E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,2.173790E+00,1.731754E+04,0.000000E+00,1.832643E+01,5.653550E+05,1.832643E+01,0.000000E+00,0.000000E+00,1.832643E+01,0.000000E+00,1.836860E+01,1.463338E+05,0.000000E+00,1.979223E+00,6.105737E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,1.832643E+00,1.459979E+04,0.000000E+00,4.072141E-01,2.369225E+04,5.793370E+00,6.429280E+04,5.867281E+04,4.072141E-01,7.885959E+03,2.546835E+01,3.608412E+05,3.613261E+05,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.642986E+02,5.418816E-01,7.613544E+03,7.518856E+03,1.881160E-01,1.094484E+04,1.881160E-01,0.000000E+00,0.000000E+00,1.881160E-01,3.642986E+03,5.121599E+00,7.189446E+04,7.089276E+04,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.642986E+02,5.089950E-01,7.144287E+03,7.043533E+03
01:30:00,1.444241E+00,8.402782E+04,1.444241E+00,0.000000E+00,0.000000E+00,1.444241E+00,2.818342E+04,1.444241E+00,1.129078E+04,0.000000E+00,1.832643E+00,5.653550E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,2.196915E+00,1.717504E+04,0.000000E+00,1.832643E+01,5.653550E+05,1.832643E+01,0.000000E+00,0.000000E+00,1.832643E+01,0.000000E+00,1.836378E+01,1.435644E+05,0.000000E+00,2.007684E+00,6.193537E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,1.832643E+00,1.432724E+04,0.000000E+00,4.072141E-01,2.369225E+04,5.792889E+00,6.428594E+04,5.866586E+04,4.072141E-01,7.946520E+03,2.546987E+01,3.608024E+05,3.612866E+05,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.670963E+02,5.427908E-01,7.623720E+03,7.529155E+03,1.881160E-01,1.094484E+04,1.881160E-01,0.000000E+00,0.000000E+00,1.881160E-01,3.670963E+03,5.131676E+00,7.201027E+04,7.100998E+04,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.670963E+02,5.099355E-01,7.154909E+03,7.054284E+03
01:45:00,1.444241E+00,8.402782E+04,1.444241E+00,0.000000E+00,0.000000E+00,1.444241E+00,2.839821E+04,1.444241E+00,1.107600E+04,0.000000E+00,1.832643E+00,5.653550E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,2.222919E+00,1.704775E+04,0.000000E+00,1.832643E+01,5.653550E+05,1.832643E+01,0.000000E+00,0.000000E+00,1.832643E+01,0.000000E+00,1.836033E+01,1.408069E+05,0.000000E+00,2.033644E+00,6.273619E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,1.832643E+00,1.405469E+04,0.000000E+00,4.072141E-01,2.369225E+04,5.791978E+00,6.427294E+04,5.865270E+04,4.072141E-01,8.007080E+03,2.547145E+01,3.607643E+05,3.612478E+05,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.698939E+02,5.435307E-01,7.631481E+03,7.537008E+03,1.881160E-01,1.094484E+04,1.881160E-01,0.000000E+00,0.000000E+00,1.881160E-01,3.698939E+03,5.140397E+00,7.210673E+04,7.110761E+04,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.698939E+02,5.107232E-01,7.163350E+03,7.062826E+03
02:00:00,1.444241E+00,8.402782E+04,1.444241E+00,0.000000E+00,0.000000E+00,1.444241E+00,2.861300E+04,1.444241E+00,1.086121E+04,0.000000E+00,1.832643E+00,5.653550E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,2.247353E+00,1.690091E+04,0.000000E+00,1.832643E+01,5.653550E+05,1.832643E+01,0.000000E+00,0.000000E+00,1.832643E+01,0.000000E+00,1.835514E+01,1.380373E+05,0.000000E+00,2.058103E+00,6.349075E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,1.832643E+00,1.378214E+04,0.000000E+00,4.072141E-01,2.369225E+04,5.791053E+00,6.425974E+04,5.863933E+04,4.072141E-01,8.067641E+03,2.547299E+01,3.607258E+05,3.612086E+05,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.726916E+02,5.441180E-01,7.637063E+03,7.542654E+03,1.881160E-01,1.094484E+04,1.881160E-01,0.000000E+00,0.000000E+00,1.881160E-01,3.726916E+03,5.147767E+00,7.218392E+04,7.118571E+04,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.726916E+02,5.113852E-01,7.169998E+03,7.069552E+03
02:15:00,1.444241E+00,8.402782E+04,1.444241E+00,0.000000E+00,0.000000E+00,1.444241E+00,2.877408E+04,1.444241E+00,1.070012E+04,0.000000E+00,1.832643E+00,5.653550E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,2.270594E+00,1.682243E+04,0.000000E+00,1.832643E+01,5.653550E+05,1.832643E+01,0.000000E+00,0.000000E+00,1.832643E+01,0.000000E+00,1.848050E+01,1.369187E+05,0.000000E+00,2.082106E+00,6.423121E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,1.832643E+00,1.357773E+04,0.000000E+00,4.072141E-01,2.369225E+04,5.790118E+00,6.424640E+04,5.862582E+04,4.072141E-01,8.113061E+03,2.547451E+01,3.607020E+05,3.611844E+05,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.747898E+02,5.445907E-01,7.641709E+03,7.547354E+03,1.881160E-01,1.094484E+04,1.881160E-01,0.000000E+00,0.000000E+00,1.881160E-01,3.747898E+03,5.154053E+00,7.225264E+04,7.125525E+04,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.747898E+02,5.119447E-01,7.175885E+03,7.075508E+03
02:30:00,1.444241E+00,8.402782E+04,1.444241E+00,0.000000E+00,0.000000E+00,1.444241E+00,2.893517E+04,1.444241E+00,1.053903E+04,0.000000E+00,1.832643E+00,5.653550E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,2.292885E+00,1.673183E+04,0.000000E+00,1.832643E+01,5.653550E+05,1.832643E+01,0.000000E+00,0.000000E+00,1.832643E+01,0.000000E+00,1.879819E+01,1.371757E+05,0.000000E+00,2.105461E+00,6.495169E+04,1.832643E+00,0.000000E+00,0.000000E+00,1.832643E+00,0.000000E+00,1.832643E+00,1.337332E+04,0.000000E+00,4.072141E-01,2.369225E+04,5.789174E+00,6.423293E+04,5.861218E+04,4.072141E-01,8.158481E+03,2.547601E+01,3.606780E+05,3.611599E+05,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.768880E+02,5.449771E-01,7.645125E+03,7.550808E+03,1.881160E-01,1.094484E+04,1.881160E-01,0.000000E+00,0.000000E+00,1.881160E-01,3.768880E+03,5.159464E+00,7.230886E+04,7.131214E+04,1.881160E-02,1.094484E+03,1.881160E-02,0.000000E+00,0.000000E+00,1.881160E-02,3.768880E+02,5.124202E-01,7.180571E+03,7.080249E+03
